Name,Earnings,Multiplicative,Share Price,Country
Avnet,1.04,1000000000,48.01,USA
IGM Financial,1.04,1000000000,30.81,Canada
Red Eléctrica,1.04,1000000000,18.01,Spain
Synopsys,1.03,1000000000,441.19,USA
Brown Forman,1.03,1000000000,66.91,USA
Santander Polska,1.03,1000000000,95.69,Poland
AvalonBay Communities,1.03,1000000000,192.45,USA
Universal Health Services,1.03,1000000000,148.62,USA
Coles Group,1.03,1000000000,12.45,Australia
ENGIE Brasil,1.03,1000000000,9.41,Brazil
Harley-Davidson,1.03,1000000000,34.35,USA
Suntory,1.03,1000000000,38.45,Japan
Schindler Group,1.03,1000000000,220.75,Switzerland
Zain (Mobile Telecommunications Company),1.03,1000000000,"1,694",eu Kuwait
Banco Santander-Chile,1.02,1000000000,19.24,Chile
Asahi Kasei,1.02,1000000000,6.93,Japan
Stockland,1.02,1000000000,2.86,Australia
Pegatron,1.02,1000000000,2.59,Taiwan
AES,1.02,1000000000,21.34,USA
Lufax,1.02,1000000000,1.56,China
Indah Kiat Pulp & Paper,1.02,1000000000,0.53,Indonesia
Toppan,1.01,1000000000,21.85,Japan
CarMax,1.01,1000000000,79.63,USA
Teledyne,1.01,1000000000,406.43,USA
Adani Ports & SEZ,1.01,1000000000,9.12,India
Hankook Tire,1.01,1000000000,27.27,S. Korea
Alliant Energy,1.01,1000000000,53.74,USA
Thor Industries,1.01,1000000000,95.47,USA
Evolution Gaming,1.01,1000000000,135.04,Sweden
Hologic,1.01,1000000000,81.20,USA
Synovus,1.01,1000000000,31.26,USA
Radian Group,1.00,1000000000,25.13,USA
Salzgitter,1.00,1000000000,38.87,Germany
CVR Energy,1.00,1000000000,27.71,USA
Hewlett Packard Enterprise,1.00,1000000000,17.57,USA
UltraTech Cement,1.00,1000000000,101.71,India
Cemig,1.00,1000000000,2.53,Brazil
Givaudan,1.00,1000000000,"3,291",Switzerland
Taylor Wimpey,1.00,1000000000,1.40,UK
OneMain Financial,1.00,1000000000,43.07,USA
Ternium Argentina,1.00,1000000000,1.60,ar Argentina
Jacobs Engineering,1.00,1000000000,116.57,USA
Fortive,1.00,1000000000,71.82,USA
Cal-Maine Foods,0.99,1000000000,47.72,USA
Elkem,0.99,1000000000,2.54,Norway
Vulcan Materials,0.99,1000000000,207.31,USA
Golar LNG,0.99,1000000000,21.60,Bermuda
Verisk Analytics,0.99,1000000000,224.52,USA
Canadian Utilities,0.99,1000000000,26.49,Canada
Northland Power,0.99,1000000000,20.78,Canada
Sabesp,0.99,1000000000,11.16,Brazil
Nitori Holdings,0.98,1000000000,122.91,Japan
Carlyle Group,0.98,1000000000,31.38,USA
MercadoLibre,0.98,1000000000,"1,195",ar Argentina
Autodesk,0.98,1000000000,213.50,USA
Alexandria Real Estate Equities,0.98,1000000000,115.45,USA
Magnolia Oil & Gas,0.98,1000000000,20.73,USA
Hulic,0.98,1000000000,8.95,Japan
VeriSign,0.98,1000000000,223.69,USA
Genworth Financial,0.98,1000000000,5.07,USA
Eurazeo,0.97,1000000000,73.08,France
KGHM Polska Miedź,0.97,1000000000,29.68,Poland
United Therapeutics,0.97,1000000000,230.26,USA
Flex,0.97,1000000000,26.77,Singapore
Magellan Midstream Partners,0.97,1000000000,60.10,USA
Bombardier Recreational Products,0.97,1000000000,82.85,Canada
Matson,0.96,1000000000,73.50,USA
Cleveland-Cliffs,0.96,1000000000,16.47,USA
Teleperformance,0.96,1000000000,177.58,France
Iida Group,0.96,1000000000,16.92,Japan
Enact Holdings,0.96,1000000000,24.94,USA
Bath & Body Works,0.96,1000000000,38.95,USA
Universal Music Group,0.96,1000000000,22.07,Netherlands
Growthpoint Properties,0.96,1000000000,0.69,South Africa
Olam,0.96,1000000000,1.08,Singapore
Bajaj Auto,0.96,1000000000,56.66,India
Shaw Communications,0.96,1000000000,30.18,Canada
Arkema,0.96,1000000000,92.56,France
First Quantum Minerals,0.96,1000000000,25.14,Canada
Equity Residential,0.95,1000000000,66.72,USA
Sompo Holdings,0.95,1000000000,46.09,Japan
Yum China,0.95,1000000000,59.40,China
Hochtief,0.95,1000000000,86.82,Germany
Croda International,0.95,1000000000,70.66,UK
Zebra Technologies,0.95,1000000000,282.40,USA
Coloplast,0.95,1000000000,127.69,Denmark
GAIL,0.95,1000000000,1.31,India
National Mineral Development Corporation,0.95,1000000000,1.31,India
SD BioSensor,0.94,1000000000,11.40,S. Korea
PagSeguro,0.94,1000000000,10.21,Brazil
Boston Properties,0.94,1000000000,55.04,USA
Grupo Catalana Occidente,0.94,1000000000,31.53,Spain
SK Telecom,0.94,1000000000,20.41,S. Korea
Tricon Residential,0.94,1000000000,8.83,Canada
Mengniu Dairy,0.94,1000000000,4.08,China
Saudi International Petrochemical Company (Sipchem),0.94,1000000000,9.76,S. Arabia
Expedia Group,0.94,1000000000,105.87,USA
Ajinomoto,0.94,1000000000,41.26,Japan
Komerční banka,0.94,1000000000,31.06,Czech Republic
Enel Américas,0.93,1000000000,0.14,Chile
Companhia Siderúrgica Nacional,0.93,1000000000,2.81,Brazil
Fomento de Construcciones y Contratas,0.93,1000000000,10.15,Spain
Smurfit Kappa Group,0.93,1000000000,36.79,Ireland
Atmos Energy,0.93,1000000000,117.00,USA
Skanska,0.93,1000000000,13.72,Sweden
Earthstone Energy,0.93,1000000000,13.66,USA
Yageo,0.93,1000000000,16.52,Taiwan
Sino Land,0.93,1000000000,1.26,Hong Kong
National Bank of Greece,0.93,1000000000,6.43,Greece
PPL,0.93,1000000000,26.99,USA
Hang Lung Group,0.93,1000000000,1.56,Hong Kong
Azrieli Group,0.93,1000000000,62.31,Israel
IDEXX Laboratories,0.93,1000000000,483.03,USA
Formosa Plastics,0.93,1000000000,3.02,Taiwan
Want Want China,0.92,1000000000,0.64,Hong Kong
Group 1 Automotive,0.92,1000000000,237.59,USA
Western Union,0.92,1000000000,11.55,USA
Celanese,0.92,1000000000,114.00,USA
Molson Coors,0.92,1000000000,66.28,USA
Aliansce Sonae Shopping Centers,0.92,1000000000,4.87,Brazil
Dassault Aviation,0.92,1000000000,188.96,France
A1 Telekom Austria,0.92,1000000000,7.24,Austria
Yuanta Financial Holding,0.91,1000000000,0.79,Taiwan
Genmab,0.91,1000000000,38.77,Denmark
SGS,0.91,1000000000,96.52,Switzerland
QBE Insurance,0.91,1000000000,10.52,Australia
eBay,0.91,1000000000,45.06,USA
DaVita,0.91,1000000000,97.62,USA
Dai Nippon Printing,0.91,1000000000,28.76,Japan
Organon,0.91,1000000000,20.91,USA
Trina Solar,0.91,1000000000,5.99,China
DWS Group,0.91,1000000000,31.88,Germany
Kingfisher,0.91,1000000000,2.98,UK
Outokumpu,0.91,1000000000,6.14,Finland
Live Nation,0.91,1000000000,90.18,USA
British Land,0.91,1000000000,4.38,UK
Metro,0.90,1000000000,53.81,Canada
Fidelity National Financial,0.90,1000000000,34.76,USA
Bankinter,0.90,1000000000,6.31,Spain
Pandora,0.90,1000000000,85.83,Denmark
Weichai Power,0.90,1000000000,1.52,China
Brown & Brown,0.90,1000000000,66.25,USA
Polaris,0.90,1000000000,121.28,USA
Washington H. Soul Pattinson and Company (WHSP),0.90,1000000000,22.20,Australia
Dollarama,0.90,1000000000,65.92,Canada
Mueller Industries,0.90,1000000000,81.29,USA
Avery Dennison,0.89,1000000000,171.09,USA
CONSOL Energy,0.89,1000000000,65.37,USA
Fortune Brands Innovations,0.89,1000000000,66.99,USA
Great Eastern,0.89,1000000000,12.75,Singapore
Mobile TeleSystems,0.89,1000000000,3.25,Russia
GlobalWafers,0.88,1000000000,16.75,Taiwan
Adani Enterprises,0.88,1000000000,30.63,India
Persimmon,0.88,1000000000,15.15,UK
Stifel,0.88,1000000000,59.57,USA
POOLCORP,0.88,1000000000,357.95,USA
Eastman Chemical,0.88,1000000000,82.67,USA
Check Point Software,0.88,1000000000,130.91,Israel
Daiwa Securities Group,0.88,1000000000,5.24,Japan
E.ON,0.88,1000000000,12.50,Germany
Knight-Swift,0.87,1000000000,54.97,USA
Hitachi Construction Machinery,0.87,1000000000,28.79,Japan
Boyd Gaming,0.87,1000000000,68.00,USA
Toray Industries,0.87,1000000000,5.60,Japan
Novatek Microelectronics,0.87,1000000000,14.95,Taiwan
Edison,0.87,1000000000,1.52,Italy
Cemex,0.87,1000000000,7.20,Mexico
Boise Cascade,0.87,1000000000,77.74,USA
Berry Global,0.87,1000000000,64.72,USA
MFHC,0.87,1000000000,1.20,Taiwan
Avangrid,0.87,1000000000,38.66,USA
Gray Television,0.86,1000000000,7.46,USA
Schaeffler,0.86,1000000000,6.72,Germany
Academy Sports,0.86,1000000000,48.58,USA
Hikari Tsushin,0.86,1000000000,153.60,Japan
Prysmian Group,0.86,1000000000,40.65,Italy
Petro Rio,0.86,1000000000,7.55,Brazil
Essent Group,0.86,1000000000,45.17,Bermuda
Ooredoo Q.P.S.C.,0.86,1000000000,2.97,eu Qatar
Choice Properties REIT,0.85,1000000000,10.12,Canada
Prudential Financial,0.85,1000000000,87.03,USA
Meiji Holdings,0.85,1000000000,23.11,Japan
Host Hotels & Resorts,0.85,1000000000,17.05,USA
Waters Corporation,0.85,1000000000,269.20,USA
Universal Forest Products,0.85,1000000000,89.27,USA
Encore Wire,0.85,1000000000,174.07,USA
NiSource,0.85,1000000000,27.38,USA
Terumo,0.85,1000000000,32.96,Japan
Jerónimo Martins,0.85,1000000000,27.61,Portugal
UnipolSai,0.84,1000000000,2.51,Italy
Grifols,0.84,1000000000,9.08,Spain
BKW AG,0.84,1000000000,170.47,Switzerland
Baker Hughes,0.84,1000000000,30.57,USA
Kesko,0.84,1000000000,20.49,Finland
Brunswick Corporation,0.84,1000000000,85.71,USA
Metropolitan Bank (Metrobank),0.84,1000000000,1.03,Philippines
Nippon Paint,0.84,1000000000,8.97,Japan
Magnit,0.83,1000000000,59.59,Russia
Rohm,0.83,1000000000,95.54,Japan
Robert Half,0.83,1000000000,73.42,USA
GAC (Guangzhou Automobile Group),0.83,1000000000,1.46,China
Quebecor,0.83,1000000000,25.18,Canada
Service Corporation International,0.83,1000000000,66.21,USA
Capri Holdings,0.83,1000000000,36.93,UK
Post Holdings,0.83,1000000000,87.34,USA
Suncorp,0.83,1000000000,9.13,Australia
TopBuild,0.83,1000000000,243.28,USA
First International Bank of Israel,0.83,1000000000,42.18,Israel
Samsung Biologics,0.83,1000000000,609.99,S. Korea
Bank Pekao (Bank Polska Kasa Opieki),0.83,1000000000,27.56,Poland
National Fuel Gas,0.83,1000000000,51.92,USA
Tech Mahindra,0.83,1000000000,13.15,India
Warrior Met Coal,0.83,1000000000,35.89,USA
Piraeus Financial Holdings,0.83,1000000000,3.28,Greece
Burberry,0.83,1000000000,29.25,UK
Valley Bank,0.82,1000000000,8.32,USA
Unicharm,0.82,1000000000,38.71,Japan
Efes Beverage Group,0.82,1000000000,2.74,Turkey
Minera Valparaíso,0.82,1000000000,16.06,Chile
Pilgrim's Pride,0.82,1000000000,21.66,USA
Watsco,0.82,1000000000,366.58,USA
Mediobanca,0.82,1000000000,12.29,Italy
Murphy USA,0.82,1000000000,289.23,USA
Jefferies Financial Group,0.82,1000000000,32.96,USA
Paramount Resources,0.82,1000000000,22.56,Canada
Brambles,0.81,1000000000,9.53,Australia
Sungrow Power Supply,0.81,1000000000,16.03,China
Taiwan Cooperative Financial,0.81,1000000000,0.91,Taiwan
Aéroports de Paris,0.81,1000000000,152.62,France
Broadridge Financial Solutions,0.81,1000000000,160.80,USA
ESR,0.81,1000000000,1.86,Hong Kong
AGL Energy,0.81,1000000000,7.29,Australia
Disco Corp.,0.81,1000000000,165.11,Japan
Largan Precision,0.81,1000000000,71.66,Taiwan
First Financial Holding,0.81,1000000000,0.90,Taiwan
Shriram Transport Finance,0.81,1000000000,17.11,India
Crocs,0.81,1000000000,109.95,USA
Ingersoll Rand,0.81,1000000000,64.52,Ireland
Par Pacific Holdings,0.80,1000000000,24.18,USA
Magna International,0.80,1000000000,56.99,Canada
Hang Lung Properties,0.80,1000000000,1.70,Hong Kong
Wistron Corporation,0.80,1000000000,2.62,Taiwan
Romgaz,0.80,1000000000,7.72,Romania
Huntington Ingalls Industries,0.80,1000000000,221.18,USA
Sany Heavy Industry,0.80,1000000000,2.39,China
Hindustan Aeronautics,0.80,1000000000,46.93,India
The Commercial Bank (P.S.Q.C.),0.80,1000000000,1.58,eu Qatar
Aisin Seiki,0.80,1000000000,31.22,Japan
China Resources Beer,0.80,1000000000,6.96,Hong Kong
Aristocrat,0.80,1000000000,26.54,Australia
Sealed Air,0.80,1000000000,40.43,USA
Kingspan Group,0.79,1000000000,66.04,Ireland
Jones Lang LaSalle,0.79,1000000000,151.02,USA
Royalty Pharma,0.79,1000000000,31.90,UK
Franco-Nevada,0.79,1000000000,145.74,Canada
Nomura Research Institute,0.79,1000000000,27.78,Japan
Chemours,0.79,1000000000,33.90,USA
Orkla,0.79,1000000000,7.13,Norway
Tsingtao,0.79,1000000000,14.88,China
Knorr-Bremse,0.79,1000000000,72.56,Germany
Atlas Corp,0.79,1000000000,15.48,Canada
Indosat,0.79,1000000000,0.61,Indonesia
Sekisui Chemical,0.79,1000000000,14.63,Japan
IDEX,0.79,1000000000,209.75,USA
RLI Corp.,0.79,1000000000,132.22,USA
Banca Mediolanum,0.79,1000000000,9.15,Italy
McCormick & Company,0.79,1000000000,92.65,USA
Hess Midstream,0.79,1000000000,30.01,USA
Grupo Aeroportuario del Sureste,0.79,1000000000,297.18,Mexico
SKF (Svenska Kullagerfabriken),0.79,1000000000,18.70,Sweden
Tegna,0.79,1000000000,16.01,USA
BOK Financial,0.78,1000000000,87.57,USA
Gaming and Leisure Properties,0.78,1000000000,49.83,USA
Ultrapar Participacoes,0.78,1000000000,3.62,Brazil
Shanghai Commercial and Savings Bank,0.78,1000000000,1.49,Taiwan
ALD Automotive,0.78,1000000000,11.17,France
MVV Energie,0.78,1000000000,34.16,Germany
Harvey Norman,0.78,1000000000,2.25,Australia
Continental,0.78,1000000000,78.83,Germany
Sonova,0.78,1000000000,269.57,Switzerland
Pan Pacific,0.78,1000000000,18.02,Japan
Domino's Pizza,0.78,1000000000,331.41,USA
Erdemir,0.78,1000000000,1.56,Turkey
Chocoladefabriken Lindt & Sprüngli,0.78,1000000000,"12,648",Switzerland
Baytex Energy,0.78,1000000000,3.28,Canada
Barratt Developments,0.77,1000000000,5.68,UK
Equifax,0.77,1000000000,229.77,USA
Country Garden,0.77,1000000000,0.24,China
iA Financial,0.77,1000000000,68.42,Canada
WuXi Biologics,0.77,1000000000,11.98,China
Bâloise,0.77,1000000000,156.56,Switzerland
Core & Main,0.77,1000000000,28.57,USA
BJ's Wholesale Club,0.77,1000000000,61.07,USA
RPM International,0.77,1000000000,85.22,USA
Triton International,0.77,1000000000,83.16,Bermuda
MEG Energy,0.77,1000000000,15.46,Canada
Amkor Technology,0.77,1000000000,26.39,USA
W. P. Carey,0.77,1000000000,70.34,USA
Wintrust Financial,0.77,1000000000,70.11,USA
Helvetia Holding,0.76,1000000000,140.29,Switzerland
Bunzl,0.76,1000000000,39.08,UK
Old National Bank,0.76,1000000000,13.85,USA
Cullen/Frost Bankers,0.76,1000000000,111.71,USA
Avantor,0.76,1000000000,19.95,USA
Absa Bank,0.76,1000000000,42.01,South Africa
Sappi,0.76,1000000000,2.25,South Africa
Prada,0.76,1000000000,7.06,Italy
Charter Hall Group,0.76,1000000000,7.43,Australia
Nan Ya PCB,0.76,1000000000,9.12,Taiwan
James Hardie Industries,0.76,1000000000,27.51,Ireland
Dr. Reddy's,0.76,1000000000,60.27,India
Umicore,0.76,1000000000,30.29,Belgium
Churchill Downs,0.75,1000000000,136.39,USA
Hubbell,0.75,1000000000,320.38,USA
Teradyne,0.75,1000000000,111.06,USA
Ipsen,0.75,1000000000,122.73,France
Tofaş Türk Otomobil Fabrikası,0.75,1000000000,9.48,Turkey
Man Group,0.75,1000000000,2.87,Jersey
BOC Aviation,0.75,1000000000,8.13,Singapore
Alliance Resource Partners,0.75,1000000000,17.83,USA
Smith & Nephew,0.74,1000000000,32.16,UK
Kerry Group,0.74,1000000000,98.38,Ireland
Power Assets,0.74,1000000000,5.36,Hong Kong
Wienerberger,0.74,1000000000,30.74,Austria
XP Inc.,0.74,1000000000,22.13,Brazil
TRI Pointe Group,0.74,1000000000,31.73,USA
Millicom,0.74,1000000000,16.85,Luxembourg
Bank of India,0.74,1000000000,0.89,India
AECOM,0.74,1000000000,86.67,USA
Kaō,0.74,1000000000,37.28,Japan
Intermediate Capital Group (ICG),0.74,1000000000,17.86,UK
Jyske Bank,0.74,1000000000,78.72,Denmark
Turkcell,0.74,1000000000,3.88,Turkey
Ingredion,0.74,1000000000,106.69,USA
Blackstone Group,0.73,1000000000,91.13,USA
Oriental Land,0.73,1000000000,38.22,Japan
Marriott Vacations Worldwide,0.73,1000000000,127.00,USA
Birchcliff Energy,0.73,1000000000,5.79,Canada
Mapletree Logistics Trust,0.73,1000000000,1.29,Singapore
Indian Bank,0.73,1000000000,3.44,India
Jindal Steel & Power,0.73,1000000000,6.64,India
Empire Company,0.73,1000000000,26.35,Canada
Stelco,0.73,1000000000,32.22,Canada
Nippon Sanso,0.73,1000000000,22.14,Japan
Bureau Veritas,0.73,1000000000,27.73,France
Parex Resources,0.73,1000000000,20.58,Canada
Lear Corporation,0.73,1000000000,143.06,USA
Lamb Weston,0.72,1000000000,114.34,USA
Sino Biopharmaceutical,0.72,1000000000,0.49,China
Aramark,0.72,1000000000,40.53,USA
Euronext,0.72,1000000000,72.20,Netherlands
Sonoco,0.72,1000000000,60.65,USA
Koninklijke DSM,0.72,1000000000,124.86,Netherlands
Tencent Music,0.72,1000000000,8.03,China
Old Republic International,0.72,1000000000,24.91,USA
E.SUN Bank,0.72,1000000000,0.86,Taiwan
EnLink Midstream,0.72,1000000000,10.31,USA
Bank OZK,0.72,1000000000,39.86,USA
Kintetsu GHD,0.72,1000000000,34.83,Japan
Ralph Lauren,0.71,1000000000,123.18,USA
Ampol,0.71,1000000000,21.20,Australia
IHI Corporation,0.71,1000000000,27.86,Japan
OTE Group,0.71,1000000000,16.18,Greece
Hong Kong Telecom,0.71,1000000000,1.19,Hong Kong
Schroders,0.71,1000000000,5.80,UK
Pinnacle Financial Partners,0.71,1000000000,57.93,USA
Ares Capital,0.71,1000000000,18.68,USA
BAWAG Group,0.71,1000000000,48.37,Austria
Qatar Gas Transport Company,0.70,1000000000,1.11,eu Qatar
Synnex Technology International,0.70,1000000000,1.93,Taiwan
Hanwha Aerospace,0.70,1000000000,91.93,S. Korea
Shurgard Self Storage,0.70,1000000000,48.74,Luxembourg
Essex Property Trust,0.70,1000000000,236.92,USA
Quanta Services,0.70,1000000000,185.95,USA
H&R Block,0.70,1000000000,32.88,USA
Supermicro,0.70,1000000000,230.77,USA
Omron,0.70,1000000000,66.16,Japan
United Internet,0.70,1000000000,14.20,Germany
Naver,0.70,1000000000,159.38,S. Korea
Holmen,0.70,1000000000,38.37,Sweden
Alfa Laval,0.70,1000000000,36.73,Sweden
Travel + Leisure,0.70,1000000000,41.19,USA
TORM,0.70,1000000000,25.56,UK
StoneX Group,0.70,1000000000,89.95,USA
Advance Auto Parts,0.69,1000000000,69.22,USA
Asian Paints,0.69,1000000000,40.48,India
Banco Comercial Português (Millennium bcp),0.69,1000000000,0.24,Portugal
American Equity Investment Life Holding,0.69,1000000000,41.44,USA
Aselsan,0.69,1000000000,2.22,Turkey
CSN Mineração,0.69,1000000000,0.93,Brazil
Shoprite,0.69,1000000000,12.54,South Africa
Hua Nan Financial Holdings,0.69,1000000000,0.72,Taiwan
Samsung Electro-Mechanics,0.69,1000000000,55.57,S. Korea
Everest Re,0.69,1000000000,352.35,Bermuda
Allison Transmission,0.69,1000000000,54.11,USA
Apartment Income REIT,0.69,1000000000,37.18,USA
JSW Steel,0.69,1000000000,9.47,India
Hera Group,0.69,1000000000,3.18,Italy
Ambac,0.69,1000000000,14.24,USA
Yunnan Energy New Material,0.69,1000000000,13.46,China
City Developments,0.68,1000000000,5.34,Singapore
MinebeaMitsumi,0.68,1000000000,19.81,Japan
Hankyu Hanshin Holdings,0.68,1000000000,32.72,Japan
StoneCo,0.68,1000000000,13.52,Brazil
Kumho Petrochemical,0.68,1000000000,102.32,S. Korea
Aditya Birla Capital,0.68,1000000000,2.17,India
Fonterra,0.68,1000000000,1.97,New Zealand
Essential Utilities,0.68,1000000000,41.43,USA
Edenred,0.68,1000000000,67.53,France
South State Corp,0.68,1000000000,70.87,USA
Middleby,0.68,1000000000,144.56,USA
Denbury,0.68,1000000000,89.52,USA
Etihad Etisalat (Mobily),0.68,1000000000,12.22,S. Arabia
Nordson,0.68,1000000000,237.11,USA
Sino-American Silicon Products,0.67,1000000000,5.35,Taiwan
Geely,0.67,1000000000,1.27,China
PUMA,0.67,1000000000,55.42,Germany
Clean Harbors,0.67,1000000000,156.67,USA
Indofood CBP,0.67,1000000000,0.75,Indonesia
Mirvac Group,0.67,1000000000,1.55,Australia
ASM International,0.67,1000000000,438.85,Netherlands
OGE Energy,0.67,1000000000,36.80,USA
JDE Peet's,0.67,1000000000,29.78,Netherlands
Shenzhen Inovance,0.67,1000000000,8.93,China
Mid-America Apartment Communities,0.67,1000000000,155.29,USA
Taishin Financial Holdings,0.67,1000000000,0.62,Taiwan
Air Lease Corporation,0.67,1000000000,41.48,USA
Svenska Cellulosa Aktiebolaget (SCA),0.67,1000000000,13.65,Sweden
Concentrix,0.67,1000000000,83.07,USA
Doosan Bobcat,0.67,1000000000,47.54,S. Korea
Amadeus IT Group,0.67,1000000000,76.55,Spain
Greif,0.67,1000000000,70.15,USA
CCL Industries,0.66,1000000000,46.75,Canada
Prosperity Bancshares,0.66,1000000000,59.39,USA
Tata Power,0.66,1000000000,2.71,India
Alpha Services and Holdings,0.66,1000000000,1.69,Greece
Direct Line Group,0.66,1000000000,1.97,UK
F.N.B. Corporation,0.66,1000000000,11.70,USA
MDC Holdings,0.66,1000000000,44.96,USA
Starwood Property Trust,0.66,1000000000,19.42,USA
Trimble,0.66,1000000000,52.67,USA
Virgin Money UK,0.66,1000000000,2.02,UK
Acerinox,0.66,1000000000,11.20,Spain
Performance Food Group,0.66,1000000000,56.31,USA
Capitec Bank,0.66,1000000000,84.01,South Africa
Hancock Whitney,0.66,1000000000,40.19,USA
Costamare,0.66,1000000000,9.21,Monaco
Kerry Properties,0.66,1000000000,2.23,Hong Kong
Navios Maritime Partners,0.66,1000000000,20.82,Monaco
Tingyi (master kang),0.66,1000000000,1.54,China
Grupo Aeroportuario del Pacífico,0.66,1000000000,193.00,Mexico
UOL Group,0.66,1000000000,5.10,Singapore
Acciona Energías Renovables,0.66,1000000000,35.06,Spain
Salesforce,0.66,1000000000,211.76,USA
Autoliv,0.65,1000000000,88.13,Sweden
Daito Trust Construction,0.65,1000000000,100.78,Japan
Korea Zinc,0.65,1000000000,399.05,S. Korea
Advanced Drainage Systems,0.65,1000000000,110.52,USA
Ems-Chemie,0.65,1000000000,792.89,Switzerland
Redefine Properties,0.65,1000000000,0.18,South Africa
Howmet Aerospace,0.65,1000000000,45.98,USA
Enagás,0.65,1000000000,20.12,Spain
Chennai Petroleum,0.65,1000000000,4.70,India
Hilton Grand Vacations,0.65,1000000000,45.64,USA
FinecoBank,0.65,1000000000,13.93,Italy
IDBI Bank,0.65,1000000000,0.66,India
Scor,0.65,1000000000,26.87,France
Sensata Technologies,0.65,1000000000,45.34,USA
Amdocs,0.65,1000000000,97.60,USA
West Pharmaceutical,0.65,1000000000,362.04,USA
Crane Co.,0.64,1000000000,80.93,USA
Pentair,0.64,1000000000,60.81,UK
Andritz,0.64,1000000000,56.44,Austria
Rheinmetall,0.64,1000000000,285.20,Germany
M/I Homes,0.64,1000000000,78.33,USA
NuVista Energy,0.64,1000000000,8.21,Canada
Catalent,0.64,1000000000,44.11,USA
JOYY,0.64,1000000000,30.66,China
Louisiana-Pacific,0.64,1000000000,63.64,USA
360 DigiTech,0.64,1000000000,16.13,China
Henry Schein,0.64,1000000000,78.02,USA
Charles River Laboratories,0.64,1000000000,209.99,USA
Sinopac Financial Holdings,0.64,1000000000,0.56,Taiwan
Powerchip Semiconductor Manufacturing,0.64,1000000000,1.05,Taiwan
Sacyr,0.64,1000000000,3.41,Spain
Casey's General Stores,0.64,1000000000,219.62,USA
Cencosud,0.64,1000000000,1.96,Chile
EVE Energy,0.64,1000000000,8.57,China
Timken Company,0.63,1000000000,85.01,USA
Danaos,0.63,1000000000,65.33,Greece
Bank Albilad,0.63,1000000000,10.48,S. Arabia
Goodyear,0.63,1000000000,13.57,USA
Methanex,0.63,1000000000,42.31,Canada
TransUnion,0.63,1000000000,75.47,USA
Genting Singapore,0.63,1000000000,0.73,Singapore
Navient,0.63,1000000000,18.40,USA
Proximus,0.63,1000000000,7.89,Belgium
AkzoNobel,0.63,1000000000,78.74,Netherlands
Akamai,0.63,1000000000,91.50,USA
ageas,0.63,1000000000,40.84,Belgium
ALTEN,0.63,1000000000,165.10,France
H&M,0.63,1000000000,14.47,Sweden
Vital Energy,0.63,1000000000,42.92,USA
Jeudan,0.63,1000000000,38.48,Denmark
International Seaways,0.63,1000000000,37.65,USA
Owl Rock Capital,0.63,1000000000,13.78,USA
Lennox,0.63,1000000000,311.04,USA
Finning,0.63,1000000000,30.03,Canada
Bread Financial,0.63,1000000000,30.74,USA
Constellation Software,0.63,1000000000,"2,057",Canada
Commerce Bancshares,0.63,1000000000,49.64,USA
Deckers Brands,0.63,1000000000,512.72,USA
Bank of East Asia,0.63,1000000000,1.30,Hong Kong
Pirelli,0.63,1000000000,5.06,Italy
Novozymes,0.63,1000000000,49.87,Denmark
Chiba Bank,0.63,1000000000,37.38,Japan
UPL,0.63,1000000000,8.43,India
Vishay Intertechnology,0.63,1000000000,27.78,USA
Comgás,0.63,1000000000,27.01,Brazil
Italgas,0.63,1000000000,6.09,Italy
Viper Energy Partners,0.62,1000000000,24.86,USA
Alcon,0.62,1000000000,81.27,Switzerland
Gestamp Automoción,0.62,1000000000,4.80,Spain
Coca-Cola Consolidated,0.62,1000000000,656.48,USA
Vista Oil & Gas,0.62,1000000000,23.96,Mexico
Talos Energy,0.62,1000000000,14.21,USA
Summit Industrial Income REIT,0.62,1000000000,17.54,Canada
Sembcorp,0.62,1000000000,4.26,Singapore
Camden Property Trust,0.62,1000000000,113.11,USA
Wiwynn,0.62,1000000000,38.85,Taiwan
NHPC Limited,0.62,1000000000,0.55,India
Emcor,0.62,1000000000,175.73,USA
Signify,0.62,1000000000,29.13,Netherlands
bioMérieux,0.62,1000000000,101.09,France
Liberty Energy,0.62,1000000000,13.74,USA
Ferroglobe,0.62,1000000000,5.11,UK
IHH Healthcare,0.62,1000000000,1.28,Malaysia
Sallie Mae,0.62,1000000000,16.52,USA
Univar Solutions,0.61,1000000000,35.71,USA
Ansys,0.61,1000000000,334.37,USA
Black Stone Minerals,0.61,1000000000,15.96,USA
AltaGas,0.61,1000000000,18.18,Canada
Wheaton Precious Metals,0.61,1000000000,44.87,Canada
Bajaj Holdings & Investment,0.61,1000000000,84.10,India
Vail Resorts,0.61,1000000000,248.47,USA
InterContinental Hotels Group,0.61,1000000000,71.23,UK
NIBE Industrier,0.61,1000000000,10.03,Sweden
Pampa Energía,0.61,1000000000,40.91,ar Argentina
Sun Pharmaceutical,0.61,1000000000,12.11,India
Obayashi,0.60,1000000000,8.42,Japan
Schneider,0.60,1000000000,27.05,USA
Assaí Atacadista,0.60,1000000000,13.98,Brazil
ITV plc,0.60,1000000000,0.90,UK
Graco,0.60,1000000000,86.12,USA
Muthoot Finance,0.60,1000000000,14.25,India
Ranger Oil,0.60,1000000000,37.47,USA
IG Group,0.60,1000000000,8.83,UK
Osaka Gas,0.60,1000000000,15.89,Japan
