Name,Earnings,Market Cap,Revenue,Share Price,Country
Ameren,1770000000,22080000000,8140000000,84.08,USA
Edwards Lifesciences,1770000000,55730000000,5500000000,91.94,USA
Coca-Cola FEMSA,1770000000,18590000000,12000000000,88.14,Mexico
Canara Bank,1770000000,6720000000,7150000000,3.71,India
Unum,1770000000,8940000000,12040000000,45.4,USA
Arista Networks,1760000000,48640000000,4850000000,157.79,USA
Penske Automotive,1760000000,10600000000,28170000000,153.72,USA
Weyerhaeuser,1760000000,22700000000,8950000000,31,USA
Sumitomo Mitsui Trust Holdings,1760000000,13050000000,8670000000,35.54,Japan
Arthur J. Gallagher & Co.,1750000000,45800000000,8820000000,213.78,USA
The Saudi British Bank,1750000000,20660000000,2880000000,10.06,S. Arabia
Signature Bank,1750000000,8470000,2690000000,0.13,USA
Johnson Controls,1750000000,44910000000,26090000000,65.47,Ireland
Becton Dickinson,1750000000,73450000000,18800000000,258.63,USA
Powszechny Zakład Ubezpieczeń,1740000000,5740000000,11110000000,10.1,Poland
AerCap,1740000000,14580000000,6990000000,61.2,Ireland
Cathay Financial Holding,1740000000,21230000000,12780000000,1.43,Taiwan
Industrivarden,1730000000,12220000000,1740000000,28.34,Sweden
AutoNation,1730000000,6800000000,26630000000,149.16,USA
Brookfield Infrastructure Partners,1730000000,16240000000,15230000000,35.41,Bermuda
Lufthansa,1720000000,12310000000,35890000000,10.3,Germany
lululemon athletica,1720000000,48660000000,8110000000,383.02,Canada
Fanuc,1720000000,35620000000,6220000000,37.38,Japan
TDK,1710000000,15430000000,16620000000,40.73,Japan
Rural Electrification Corp,1700000000,4900000000,1790000000,1.86,India
Telstra,1700000000,34520000000,14390000000,2.99,Australia
Sumitomo Realty & Development,1700000000,12520000000,6940000000,26.43,Japan
Northern Trust,1690000000,15560000000,6780000000,74.71,USA
Vodacom,1690000000,11370000000,7090000000,6.72,South Africa
SM Energy,1690000000,3480000000,3050000000,28.92,USA
CDW Corporation,1690000000,24010000000,22900000000,178.15,USA
Estee Lauder,1690000000,72890000000,15860000000,203.95,USA
Crown Castle,1680000000,50400000000,7010000000,114.61,USA
ZTE,1680000000,23680000000,18000000000,5.48,China
Sika,1680000000,44580000000,11350000000,290.11,Switzerland
Empresas CMPC,1680000000,4740000000,8210000000,1.9,Chile
Israel Discount Bank,1680000000,6980000000,3860000000,56.49,Israel
OTP Bank,1680000000,9850000000,5310000000,35.34,Hungary
Ecolab,1670000000,51830000000,14490000000,182.04,USA
Fox Corporation,1670000000,16460000000,14910000000,31.5,USA
Vermilion Energy,1670000000,2050000000,2580000000,12.39,Canada
JBS,1670000000,8250000000,70710000000,3.72,Brazil
Mondi,1670000000,7820000000,9530000000,16.11,UK
Otsuka Holdings,1670000000,21500000000,13270000000,39.63,Japan
Monster Beverage,1670000000,61180000000,6490000000,58.45,USA
Aena,1660000000,24230000000,4730000000,161.59,Spain
Expeditors,1660000000,18150000000,14990000000,118.83,USA
Sumitomo Chemical,1660000000,5050000000,22420000000,3.09,Japan
Legrand,1660000000,26580000000,8920000000,100.22,France
WuXi AppTec,1650000000,30760000000,5770000000,9.4,China
PPG Industries,1650000000,33680000000,17720000000,143.08,USA
Hindustan Unilever,1650000000,77870000000,7320000000,33.15,India
Emera,1650000000,11150000000,5950000000,41.1,Canada
Genuine Parts Company,1650000000,22680000000,22560000000,161.47,USA
Sibanye-Stillwater,1650000000,5220000000,8180000000,7.38,South Africa
PGE Polska,1640000000,4140000000,17850000000,1.85,Poland
Comerica,1640000000,5580000000,3820000000,42.42,USA
Anta Sports,1640000000,33150000000,7770000000,11.71,China
Assa Abloy,1640000000,25450000000,12030000000,23.39,Sweden
ULTA Beauty,1640000000,22300000000,10200000000,447.91,USA
Compass Group,1640000000,48260000000,28490000000,27.8,UK
Brookfield Renewable Partners,1640000000,13050000000,4900000000,29.39,Bermuda
Agilent Technologies,1630000000,35770000000,7040000000,121.13,USA
Arca Continental,1630000000,17990000000,11040000000,10.44,Mexico
Yum! Brands,1630000000,38810000000,6940000000,138.58,USA
Yanlord,1630000000,1200000000,2690000000,0.62,Singapore
Cintas,1620000000,49970000000,8600000000,491.36,USA
Matador Resources,1620000000,5950000000,3050000000,49.95,USA
Motor Oil (Hellas) Corinth Refineries,1620000000,2930000000,17410000000,27.02,Greece
LG Energy Solution,1620000000,1.0829E+11,22760000000,462.81,S. Korea
Hoya,1620000000,44120000000,5390000000,124.8,Japan
Alabama Power,1620000000,760000000,6410000000,25.03,USA
S.F. Express,1620000000,34220000000,38500000000,6.99,China
Grupo Bimbo,1620000000,23850000000,20090000000,5.38,Mexico
MGM Resorts,1620000000,15510000000,14140000000,42.64,USA
Mindray,1620000000,52150000000,4480000000,43.01,China
WEC Energy Group,1610000000,28840000000,9570000000,91.43,USA
China Longyuan Power Group,1610000000,18530000000,5770000000,1.1,China
Nongfu Spring,1610000000,61820000000,4810000000,5.53,China
Clearway Energy,1610000000,6010000000,1260000000,30.14,USA
Corteva,1600000000,40680000000,17730000000,57.23,USA
Bank Negara Indonesia,1600000000,11260000000,4050000000,0.6,Indonesia
GlobalFoundries,1600000000,34460000000,8000000000,62.46,USA
Oil India,1600000000,3370000000,4640000000,3.1,India
S-OIL,1590000000,6590000000,31970000000,57.14,S. Korea
IBM,1590000000,1.2483E+11,60580000000,137.48,USA
Toshiba,1590000000,13990000000,25300000000,32.34,Japan
Banco de Crédito e Inversiones,1580000000,5160000000,3630000000,30.61,Chile
CTBC Financial Holding,1580000000,15690000000,5080000000,0.8,Taiwan
BB Seguridade Participações,1570000000,12650000000,930000000,6.34,Brazil
Lithia Motors,1570000000,7480000000,28490000000,271.79,USA
Delta Electronics,1570000000,31500000000,12890000000,12.13,Taiwan
Fastighets AB Balder,1570000000,4370000000,1030000000,3.79,Sweden
Willis Towers Watson,1570000000,25000000000,8950000000,235,UK
Rockwell Automation,1560000000,36270000000,8350000000,315.8,USA
Gulfport Energy,1560000000,1930000000,2200000000,104.37,USA
Coca-Cola European Partners,1560000000,29980000000,13510000000,65.35,UK
Lonza,1560000000,47310000000,6730000000,637.01,Switzerland
Kaspi.kz Joint Stock Company,1560000000,16530000000,2730000000,85.94,eu Kazakhstan
Chunghwa Telecom,1560000000,31710000000,7140000000,40.88,Taiwan
EDP Renováveis,1560000000,21670000000,2440000000,21.17,Spain
China Gas,1560000000,6510000000,11270000000,1.2,China
Intuitive Surgical,1550000000,1.154E+11,6430000000,329.36,USA
Ametek,1550000000,35930000000,6280000000,155.91,USA
Ferrovial,1550000000,23440000000,8570000000,32.35,Spain
Mapfre,1550000000,6140000000,22670000000,2.01,Spain
Thales,1550000000,31120000000,18810000000,148.13,France
PChem (Petronas Chemicals Group),1540000000,10640000000,6560000000,1.33,Malaysia
Klabin,1530000000,24570000000,3890000000,4.76,Brazil
Telus,1530000000,28210000000,14140000000,19.5,Canada
East West Bancorp,1530000000,7550000000,2470000000,53.43,USA
Keurig Dr Pepper,1530000000,45150000000,14330000000,32.17,USA
Indian Railway Finance,1530000000,5260000000,2950000000,0.4,India
CGI,1530000000,24670000000,10200000000,104.58,Canada
CPFL Energia,1530000000,7670000000,7610000000,6.66,Brazil
VEON,1530000000,1510000000,7000000000,21,Netherlands
SG Holdings,1530000000,9520000000,11590000000,15.08,Japan
Quanta Computer,1520000000,18740000000,40600000000,4.86,Taiwan
Dupont De Nemours,1520000000,31860000000,12760000000,69.41,USA
Yandex,1520000000,8950000000,8910000000,24.77,Netherlands
Henderson Land Development,1520000000,14700000000,3270000000,3.04,Hong Kong
LKQ Corporation,1520000000,14490000000,12790000000,54.23,USA
Barrick Gold,1520000000,29360000000,10800000000,16.71,Canada
Macy's,1510000000,4310000000,25300000000,15.85,USA
Kyocera,1510000000,20220000000,15090000000,56.36,Japan
MTR Corporation,1500000000,29060000000,6130000000,4.69,Hong Kong
CBRE Group,1500000000,24180000000,30900000000,77.81,USA
Sirius XM,1500000000,15240000000,8960000000,3.94,USA
Mechel PAO,1500000000,1200000000,5440000000,2.25,Russia
Asahi Group,1500000000,20770000000,18750000000,40.55,Japan
Nasdaq,1490000000,25130000000,6220000000,51.22,USA
W. R. Berkley,1490000000,15450000000,11180000000,59.28,USA
Fastenal,1480000000,32300000000,7130000000,56.58,USA
Union Bank of India,1480000000,5930000000,6020000000,0.87,India
Keysight,1480000000,29400000000,5590000000,164.86,USA
WESCO International,1480000000,8610000000,22000000000,168.05,USA
Amerco,1480000000,9750000000,5870000000,54.06,USA
American Water Works,1470000000,28990000000,3880000000,148.98,USA
Aeon,1470000000,17170000000,69400000000,20.1,Japan
Zhongsheng Group,1470000000,9820000000,26070000000,4.1,China
Western Midstream,1460000000,10440000000,3220000000,27.15,USA
Penn National Gaming,1460000000,3820000000,6510000000,24.84,USA
FirstEnergy,1460000000,22380000000,12700000000,39.07,USA
Hang Seng Bank,1460000000,27740000000,6820000000,14.51,Hong Kong
Dick's Sporting Goods,1460000000,11640000000,12510000000,135.1,USA
QNB Finansbank,1460000000,6380000000,3010000000,1.9,Turkey
DCP Midstream,1460000000,8690000000,14340000000,41.69,USA
RSA Insurance Group,1450000000,1350000000,10900000000,1.33,UK
Thyssenkrupp,1440000000,4930000000,43310000000,7.94,Germany
Grupo ACS,1440000000,8940000000,35310000000,34.63,Spain
Terna,1440000000,17680000000,3080000000,8.82,Italy
Hexagon,1440000000,33340000000,5530000000,12.62,Sweden
Amcor,1430000000,15220000000,14930000000,10.35,Switzerland
Woolworths Group,1430000000,32390000000,41860000000,26.58,Australia
Loews Corporation,1430000000,13340000000,14420000000,58.57,USA
Nidec,1430000000,32330000000,16570000000,56.21,Japan
Fortis,1430000000,20770000000,8590000000,42.87,Canada
Liberty Broadband,1430000000,11180000000,980000000,76.27,USA
JSC Halyk Bank,1430000000,3750000000,2410000000,13.36,eu Kazakhstan
Mitsubishi Motors,1430000000,5150000000,18270000000,3.46,Japan
BDO Unibank,1430000000,13820000000,3820000000,26.26,Philippines
Boston Scientific,1430000000,78090000000,13040000000,54.32,USA
Sonic Healthcare,1420000000,11340000000,6420000000,24.13,Australia
Ryanair,1420000000,24570000000,11150000000,107.89,Ireland
Alpha Metallurgical Resources,1420000000,2270000000,3940000000,157.56,USA
Mazda,1420000000,6120000000,27520000000,9.72,Japan
Central Japan Railway,1420000000,24740000000,9490000000,125.73,Japan
Dover,1420000000,20660000000,8530000000,147.73,USA
Nexstar Media Group,1410000000,5910000000,5250000000,165.03,USA
Realty Income,1410000000,41320000000,3480000000,61.39,USA
Interpublic Group,1410000000,15450000000,10880000000,40.04,USA
Air France-KLM,1410000000,5040000000,29510000000,1.97,France
Sumitomo Denki Kōgyō,1410000000,9750000000,28850000000,12.5,Japan
Northern Oil and Gas,1410000000,3090000000,1950000000,33.3,USA
LabCorp,1400000000,20750000000,14750000000,234.27,USA
Olympus,1400000000,20860000000,6790000000,16.65,Japan
East Money Information,1400000000,33090000000,1500000000,2.09,China
Asbury Automotive Group,1400000000,4770000000,15100000000,221.79,USA
Copart,1400000000,41670000000,3750000000,87.28,USA
Martin Marietta,1400000000,26430000000,6280000000,426.54,USA
Hyundai Glovis,1400000000,5680000000,20430000000,151.67,S. Korea
China Securities,1400000000,22160000000,4070000000,3.41,China
Taylor Morrison,1390000000,5100000000,8180000000,46.8,USA
Tractor Supply,1390000000,23980000000,14470000000,218.93,USA
LPL Financial,1380000000,16370000000,3400000000,208.98,USA
China Merchants Securities,1380000000,15910000000,2710000000,1.98,China
ASR Nederland,1370000000,6280000000,8760000000,42.24,Netherlands
Kirin Holdings,1370000000,12500000000,14880000000,15.4,Japan
Covivio,1370000000,5100000000,970000000,50.6,France
Williams-Sonoma,1370000000,8000000000,8530000000,124.64,USA
Budweiser APAC,1370000000,37590000000,6540000000,2.84,Hong Kong
International Paper,1370000000,11090000000,20940000000,31.98,USA
Commercial Metals Company,1360000000,5590000000,9160000000,47.8,USA
Dassault Systèmes,1360000000,60010000000,6050000000,45.28,France
China Tower,1360000000,20250000000,10340000000,0.12,China
Chipotle Mexican Grill,1360000000,56080000000,8980000000,"2,033",USA
Telefonica Brasil,1350000000,15040000000,9310000000,8.99,Brazil
Grupo Aval,1350000000,2850000000,3570000000,2.38,eu Colombia
NEC Corp,1350000000,13180000000,24080000000,49.46,Japan
Reinsurance Group of America,1350000000,9510000000,16480000000,143.03,USA
Callon Petroleum,1350000000,2110000000,3010000000,34.15,USA
Boliden,1350000000,8570000000,8050000000,31.37,Sweden
Hydro One,1340000000,16540000000,5820000000,27.63,Canada
Franklin Resources,1340000000,13500000000,7860000000,26.97,USA
Olin,1340000000,6760000000,8750000000,52.36,USA
Restaurant Brands International,1340000000,34260000000,6640000000,76.43,Canada
Packaging Corporation of America,1340000000,11900000000,8310000000,132.42,USA
SCB (Siam Commercial Bank),1340000000,10370000000,4660000000,3.08,Thailand
B3,1340000000,17360000000,1720000000,3.04,Brazil
Roper Technologies,1340000000,48900000000,5560000000,458.78,USA
ZTO Express,1340000000,22440000000,5280000000,27.46,China
Aptiv,1330000000,27440000000,18120000000,101.44,Ireland
Progressive,1330000000,76090000000,52040000000,129.99,USA
California Resources Corporation,1330000000,3150000000,3520000000,44.32,USA
Centrais Electricas Brasileiras,1330000000,18470000000,6510000000,8.01,Brazil
Equinix,1330000000,72810000000,7520000000,778.61,USA
HELLENiQ ENERGY,1330000000,2740000000,15450000000,8.99,Greece
Whitecap Resources,1330000000,4330000000,3490000000,7.16,Canada
Enerplus,1330000000,3100000000,2360000000,14.49,Canada
Electronic Arts,1320000000,35080000000,7420000000,128.66,USA
LG Corp,1320000000,10820000000,5340000000,69.81,S. Korea
Ferrari,1320000000,55860000000,5600000000,308.02,Italy
BorgWarner,1320000000,11390000000,16100000000,48.6,USA
Kasikornbank,1310000000,8940000000,5090000000,3.77,Thailand
Swire Properties,1310000000,15070000000,1770000000,2.58,Hong Kong
Exxaro Resources,1310000000,2350000000,2740000000,9.75,South Africa
Hormel Foods,1310000000,22540000000,12380000000,41.27,USA
Uni-President Enterprises,1300000000,14770000000,17390000000,2.52,Taiwan
Waste Connections,1300000000,35420000000,7460000000,137.54,USA
Rede D'Or Sao Luiz,1300000000,15590000000,4290000000,6.92,Brazil
Banco Sabadell,1290000000,6250000000,5420000000,1.12,Spain
Campbell Soup,1290000000,13830000000,9170000000,46.42,USA
Skyworks Solutions,1290000000,17380000000,5120000000,109.26,USA
Snap-on,1280000000,14490000000,4570000000,273.87,USA
CMS Energy,1280000000,17710000000,8500000000,60.74,USA
Vipshop,1280000000,10010000000,15300000000,17.79,China
Maruti Suzuki India,1280000000,35530000000,13820000000,117.22,India
RTL Group,1270000000,6400000000,7620000000,41.41,Luxembourg
Fleetcor,1270000000,17980000000,3530000000,243.63,USA
KT Corporation,1270000000,6000000000,19560000000,12.05,S. Korea
J. B. Hunt,1270000000,18310000000,14550000000,176.68,USA
Chailease Holding,1270000000,10590000000,720000000,6.69,Taiwan
AGCO,1270000000,9870000000,13290000000,131.87,USA
Conagra Brands,1270000000,16520000000,12210000000,34.64,USA
Kazatomprom,1260000000,8000000000,2140000000,27.59,eu Kazakhstan
Evergy,1260000000,13620000000,5930000000,59.31,USA
X5 Retail Group,1250000000,4870000000,31630000000,17.96,Netherlands
Molina Healthcare,1250000000,16200000000,32350000000,278.02,USA
Indofood,1250000000,4270000000,7490000000,0.49,Indonesia
Advantest,1250000000,26040000000,3960000000,141.55,Japan
Sartorius,1240000000,24470000000,4390000000,323.52,Germany
MSCI,1240000000,38240000000,2280000000,477.73,USA
AngloGold Ashanti,1240000000,10180000000,3920000000,24.16,South Africa
Crown Holdings,1240000000,10660000000,12750000000,88.81,USA
Corning,1240000000,30470000000,13680000000,35.85,USA
Thai Oil,1230000000,2950000000,14350000000,1.32,Thailand
Kajima,1230000000,7230000000,17670000000,14.86,Japan
First Horizon National,1230000000,6310000000,3350000000,11.75,USA
Brenntag,1230000000,12150000000,20300000000,78.87,Germany
Mowi,1230000000,9070000000,5420000000,17.55,Norway
Newcrest Mining,1220000000,16200000000,4200000000,18.13,Australia
Unimicron,1220000000,9420000000,4450000000,6.19,Taiwan
Partners Group,1220000000,25750000000,1960000000,993.89,Switzerland
Permian Resources,1220000000,5870000000,2400000000,10.5,USA
IndusInd Bank,1220000000,12440000000,3160000000,16.04,India
SK Innovation,1210000000,13290000000,61140000000,94.29,S. Korea
Astellas Pharma,1210000000,29900000000,10990000000,16.34,Japan
Jabil,1210000000,13970000000,35120000000,105.36,USA
Dongfeng Motor,1210000000,4450000000,13430000000,0.52,China
Tenaga Nasional,1210000000,11840000000,16580000000,8.24,Malaysia
Japan Post Insurance,1210000000,5720000000,23980000000,14.95,Japan
Investec,1210000000,5940000000,2780000000,6.74,UK
Grupo Financiero Inbursa,1210000000,15580000000,2330000000,2.55,Mexico
Halkbank,1200000000,2700000000,4900000000,0.55,Turkey
KONE,1200000000,27970000000,11520000000,54.09,Finland
Tesco,1200000000,24180000000,79310000000,3.36,UK
Gen Digital,1200000000,11930000000,3330000000,18.63,USA
Western Alliance Bancorporation,1200000000,4090000000,2210000000,37.42,USA
Associated British Foods,1200000000,19080000000,18980000000,24.6,UK
DTE Energy,1190000000,23520000000,18430000000,114.12,USA
Gartner,1190000000,28180000000,5620000000,356.54,USA
Shimano,1190000000,14980000000,4480000000,166.64,Japan
Extra Space Storage,1190000000,20660000000,1980000000,145.28,USA
Chow Tai Fook,1190000000,19580000000,12640000000,1.96,Hong Kong
SS&C Technologies,1190000000,14970000000,5350000000,60.12,USA
BASF,1180000000,44700000000,88060000000,50.03,Germany
Swatch,1180000000,15050000000,8110000000,297.85,Switzerland
CNA Financial,1180000000,10430000000,12140000000,38.51,USA
Nippon Express,1180000000,5340000000,19680000000,60.04,Japan
Thai Beverage,1180000000,10580000000,8250000000,0.42,Thailand
Telenet,1170000000,2440000000,2850000000,22.55,Belgium
Zions Bancorporation,1170000000,4240000000,3300000000,28.63,USA
China Tourism Group Duty Free,1170000000,37700000000,8090000000,18.28,China
Aluminum Corporation of China,1170000000,12750000000,27270000000,0.82,China
Banco Popular,1170000000,4430000000,3010000000,61.55,USA
Nitto Denko,1170000000,11130000000,7050000000,77.51,Japan
Southwest Airlines,1170000000,20380000000,24820000000,34.25,USA
New World Development Company,1170000000,6660000000,8690000000,2.65,Hong Kong
Experian,1170000000,34250000000,6610000000,37.2,Ireland
Chongqing Changan,1170000000,15360000000,17970000000,1.76,China
Iron Mountain,1170000000,16550000000,5160000000,56.76,USA
Julius Bär,1170000000,12780000000,4190000000,64.28,Switzerland
Meritage Homes,1160000000,4790000000,6290000000,130.33,USA
Nedbank,1160000000,6120000000,3760000000,12.57,South Africa
Bangkok Bank,1160000000,8880000000,4420000000,4.66,Thailand
Mitsubishi Chemical Holdings,1160000000,8390000000,33660000000,5.91,Japan
Ryder,1160000000,3820000000,12510000000,82.26,USA
Essity,1160000000,19070000000,15670000000,27.15,Sweden
Ares Management,1160000000,28360000000,3150000000,94.43,USA
Invesco,1160000000,7680000000,5830000000,16.78,USA
Polymetal,1160000000,1100000000,2890000000,2.03,Cyprus
Fresenius Medical Care,1160000000,13830000000,20450000000,23.57,Germany
Link REIT,1150000000,15100000000,1480000000,5.91,Hong Kong
Techtronic Industries,1150000000,19690000000,13250000000,10.73,Hong Kong
Darden Restaurants,1150000000,20070000000,10320000000,166.01,USA
Greencoat UK Wind,1150000000,4200000000,1170000000,1.81,UK
CJ Group,1150000000,1710000000,31480000000,63.36,S. Korea
Nexon,1150000000,18010000000,2650000000,21.11,Japan
Randstad,1150000000,9750000000,28730000000,53.23,Netherlands
Masco,1150000000,12490000000,8450000000,55.5,USA
Carlisle Companies,1150000000,12210000000,6270000000,239.58,USA
Community Health Systems,1150000000,570000000,12200000000,4.22,USA
Mettler-Toledo,1140000000,29110000000,3950000000,"1,322",USA
O-I Glass,1140000000,3250000000,6990000000,20.94,USA
Scentre Group,1140000000,9350000000,1670000000,1.8,Australia
Siam Cement,1140000000,11480000000,15430000000,9.57,Thailand
Acciona,1140000000,9780000000,8290000000,179,Spain
Singtel,1140000000,31380000000,12030000000,1.9,Singapore
Swire Pacific,1140000000,9250000000,11680000000,6.94,Hong Kong
Wendel,1140000000,4810000000,9310000000,109.1,France
Tapestry,1130000000,10050000000,6660000000,43.37,USA
NetApp,1130000000,15900000000,6460000000,74.37,USA
Bandai Namco,1130000000,16360000000,7560000000,24.8,Japan
FMC,1130000000,13360000000,5790000000,106.77,USA
Webster Financial,1130000000,6770000000,2640000000,38.78,USA
Great Wall Motors,1130000000,24290000000,19210000000,3.49,China
Leonardo,1130000000,6610000000,15450000000,11.5,Italy
TD Synnex,1120000000,9130000000,61990000000,96.77,USA
Banque Saudi Fransi,1120000000,13660000000,2280000000,11.39,S. Arabia
Fortinet,1120000000,57140000000,4720000000,72.78,USA
PKO Bank Polski,1120000000,11110000000,4130000000,8.89,Poland
Textron,1120000000,13430000000,12860000000,66.64,USA
Dexus,1120000000,5910000000,590000000,5.5,Australia
ResMed,1120000000,32180000000,4010000000,219.04,USA
Secom,1110000000,14620000000,8120000000,68.41,Japan
Şişecam,1110000000,5470000000,5840000000,1.79,Turkey
Nomura Holdings,1110000000,11890000000,8460000000,3.96,Japan
Alinma Bank,1110000000,18070000000,2220000000,9.07,S. Arabia
West Fraser Timber,1110000000,6650000000,8210000000,79.55,Canada
L3Harris Technologies,1110000000,37050000000,17430000000,195.57,USA
Qatar Islamic Bank,1100000000,11780000000,1710000000,4.99,eu Qatar
General Insurance Corporation of India,1100000000,4060000000,6190000000,2.32,India
American Financial Group,1100000000,9910000000,7190000000,116.39,USA
Vivendi,1100000000,9430000000,14360000000,9.14,France
Snam,1100000000,18520000000,3680000000,5.52,Italy
TFI International,1090000000,9210000000,8470000000,106.25,Canada
Arab National Bank,1090000000,10700000000,2020000000,7.14,S. Arabia
CenterPoint Energy,1090000000,18410000000,9330000000,29.18,USA
Lundbergföretagen,1080000000,10850000000,2980000000,43.75,Sweden
Ford Otosan,1080000000,10010000000,11410000000,28.54,Turkey
Ono Pharmaceutical,1080000000,9600000000,3210000000,19.67,Japan
Beiersdorf,1080000000,29930000000,7390000000,131.98,Germany
CP All,1080000000,16750000000,24100000000,1.87,Thailand
Cadence Design Systems,1080000000,64300000000,3680000000,235.84,USA
J.M. Smucker Company,1080000000,16320000000,8320000000,153.1,USA
Commercial International Bank,1080000000,5080000000,1830000000,1.09,Egypt
C. H. Robinson,1080000000,11010000000,22490000000,94.62,USA
ATCO,1080000000,3450000000,3740000000,30.31,Canada
Scorpio Tankers,1080000000,2550000000,1770000000,46.1,Monaco
Dentsu,1080000000,8910000000,9350000000,33.14,Japan
Atkore,1070000000,5390000000,3820000000,139.87,USA
Telkom SA,1070000000,900000000,7740000000,1.85,South Africa
Wabtec,1070000000,18640000000,8620000000,103.64,USA
Canadian Tire,1070000000,7700000000,13200000000,217.91,Canada
Leidos,1070000000,11780000000,14600000000,85.89,USA
Globe Life,1070000000,10320000000,5220000000,108.01,USA
Next plc,1070000000,10550000000,6210000000,82.26,UK
Advanced Info Service (AIS),1070000000,18740000000,5290000000,6.3,Thailand
(HLBank) Hong Leong Bank,1070000000,8340000000,1300000000,4,Malaysia
Dillard's,1060000000,5480000000,6960000000,332.85,USA
Resona Holdings,1060000000,11150000000,5710000000,4.74,Japan
MGIC Investment,1060000000,4380000000,1160000000,15.3,USA
Nan Ya Plastics,1060000000,20730000000,10440000000,2.61,Taiwan
WEG ON,1060000000,33060000000,5870000000,7.88,Brazil
CK Infrastructure,1060000000,13610000000,840000000,5.4,Hong Kong
Epiroc,1060000000,22220000000,4990000000,19.2,Sweden
Quest Diagnostics,1060000000,15520000000,9600000000,138.6,USA
KB Home,1050000000,4180000000,6880000000,50.77,USA
African Rainbow Minerals,1050000000,2390000000,1040000000,12.21,South Africa
Darling Ingredients,1050000000,10390000000,6950000000,65.12,USA
Wolters Kluwer,1050000000,31160000000,5400000000,127.16,Netherlands
Foshan Haitian Flavouring and Food,1050000000,39870000000,3680000000,7.17,China
Garmin,1050000000,20270000000,4830000000,106,Switzerland
KT&G (Korea Tobacco),1040000000,7550000000,4410000000,64.93,S. Korea
Hong Kong and China Gas,1040000000,16840000000,7810000000,0.9,Hong Kong
Kellogg's,1040000000,22720000000,15690000000,66.29,USA
Equatorial Energia,1040000000,7040000000,5470000000,6.4,Brazil
Graphic Packaging,1040000000,7980000000,9630000000,26.01,USA
Arch Resources,1040000000,2100000000,3720000000,112.88,USA
Avnet,1040000000,4380000000,26350000000,48.01,USA
IGM Financial,1040000000,7330000000,2490000000,30.81,Canada
Red Eléctrica,1040000000,9710000000,2120000000,18.01,Spain
Synopsys,1030000000,67130000000,5280000000,441.19,USA
Brown Forman,1030000000,31390000000,4170000000,66.91,USA
Santander Polska,1030000000,9770000000,2920000000,95.69,Poland
AvalonBay Communities,1030000000,27320000000,2650000000,192.45,USA
Universal Health Services,1030000000,10430000000,13570000000,148.62,USA
Coles Group,1030000000,16660000000,27080000000,12.45,Australia
ENGIE Brasil,1030000000,7670000000,2240000000,9.41,Brazil
Harley-Davidson,1030000000,4930000000,6040000000,34.35,USA
Suntory,1030000000,11870000000,10830000000,38.45,Japan
Schindler Group,1030000000,24090000000,12230000000,220.75,Switzerland
Zain (Mobile Telecommunications Company),1030000000,7320000000,5650000000,"1,694",eu Kuwait
Banco Santander-Chile,1020000000,9060000000,2490000000,19.24,Chile
Asahi Kasei,1020000000,9600000000,20100000000,6.93,Japan
Stockland,1020000000,6830000000,1930000000,2.86,Australia
Pegatron,1020000000,6900000000,42850000000,2.59,Taiwan
AES,1020000000,14280000000,13000000000,21.34,USA
Lufax,1020000000,7370000000,6280000000,1.56,China
Indah Kiat Pulp & Paper,1020000000,2910000000,4060000000,0.53,Indonesia
Toppan,1010000000,7150000000,12440000000,21.85,Japan
CarMax,1010000000,12580000000,29680000000,79.63,USA
Teledyne,1010000000,19120000000,5520000000,406.43,USA
Adani Ports & SEZ,1010000000,19820000000,2290000000,9.12,India
Hankook Tire,1010000000,3320000000,6590000000,27.27,S. Korea
Alliant Energy,1010000000,13500000000,4210000000,53.74,USA
Thor Industries,1010000000,5080000000,13930000000,95.47,USA
Evolution Gaming,1010000000,28850000000,1630000000,135.04,Sweden
Hologic,1010000000,20020000000,4050000000,81.2,USA
Synovus,1010000000,4560000000,2290000000,31.26,USA
Radian Group,1000000000,3920000000,1200000000,25.13,USA
Salzgitter,1000000000,2110000000,12740000000,38.87,Germany
CVR Energy,1000000000,2780000000,10800000000,27.71,USA
Hewlett Packard Enterprise,1000000000,22690000000,29340000000,17.57,USA
UltraTech Cement,1000000000,29320000000,7460000000,101.71,India
Cemig,1000000000,6440000000,6780000000,2.53,Brazil
Givaudan,1000000000,30360000000,7700000000,"3,291",Switzerland
Taylor Wimpey,1000000000,4950000000,5350000000,1.4,UK
OneMain Financial,1000000000,5190000000,4190000000,43.07,USA
Ternium Argentina,1000000000,7230000000,3530000000,1.6,ar Argentina
Jacobs Engineering,1000000000,14780000000,15580000000,116.57,USA
Fortive,1000000000,25260000000,5900000000,71.82,USA
Cal-Maine Foods,990000000,2330000000,3050000000,47.72,USA
Elkem,990000000,1610000000,4230000000,2.54,Norway
Vulcan Materials,990000000,27580000000,7420000000,207.31,USA
Golar LNG,990000000,2310000000,260000000,21.6,Bermuda
Verisk Analytics,990000000,32500000000,2770000000,224.52,USA
Canadian Utilities,990000000,7150000000,3030000000,26.49,Canada
Northland Power,990000000,5240000000,1770000000,20.78,Canada
Sabesp,990000000,7620000000,4360000000,11.16,Brazil
Nitori Holdings,980000000,13870000000,6460000000,122.91,Japan
Carlyle Group,980000000,11360000000,2840000000,31.38,USA
MercadoLibre,980000000,59980000000,11320000000,"1,195",ar Argentina
