Name,Revenue,Multiplicative,Share Price,Country
CF Industries,10.33,1000000000,71.27,USA
Darden Restaurants,10.32,1000000000,166.01,USA
Dana,10.32,1000000000,16.81,USA
Severstal,10.31,1000000000,12.16,Russia
Dai Nippon Printing,10.28,1000000000,28.76,Japan
Eastman Chemical,10.27,1000000000,82.67,USA
Mitsubishi Estate,10.26,1000000000,12.60,Japan
Sime Darby,10.24,1000000000,0.44,Malaysia
ULTA Beauty,10.20,1000000000,447.91,USA
CGI,10.20,1000000000,104.58,Canada
TC Energy,10.19,1000000000,40.59,Canada
Alaska Airlines,10.16,1000000000,50.42,USA
News Corp,10.12,1000000000,19.80,USA
Biogen,10.10,1000000000,297.48,USA
Insight Enterprises,10.10,1000000000,144.01,USA
Chewy,10.09,1000000000,39.64,USA
Southern Copper,10.07,1000000000,74.44,USA
Owens & Minor,10.07,1000000000,19.34,USA
Cushman & Wakefield,10.02,1000000000,8.77,USA
Yang Ming,10.01,1000000000,2.12,Taiwan
XPO Logistics,10.01,1000000000,51.60,USA
Celanese,9.98,1000000000,114.00,USA
SBI Life Insurance,9.96,1000000000,15.64,India
Nippon Paint,9.93,1000000000,8.97,Japan
Ajinomoto,9.91,1000000000,41.26,Japan
Scor,9.91,1000000000,26.87,France
Sun Hung Kai Properties,9.90,1000000000,13.09,Hong Kong
Koninklijke DSM,9.90,1000000000,124.86,Netherlands
KE Holdings,9.90,1000000000,16.98,China
Origin Energy,9.89,1000000000,5.84,Australia
Inchcape,9.85,1000000000,10.01,UK
Smurfit Kappa Group,9.83,1000000000,36.79,Ireland
UGI Corporation,9.83,1000000000,27.80,USA
eBay,9.82,1000000000,45.06,USA
Yum China,9.81,1000000000,59.40,China
Tokyo Century,9.79,1000000000,37.57,Japan
Suzano,9.78,1000000000,10.01,Brazil
Telkom Indonesia,9.78,1000000000,26.71,Indonesia
Sabancı Holding,9.76,1000000000,1.86,Turkey
President Chain Store (PSCS),9.75,1000000000,9.29,Taiwan
Jetblue Airways,9.75,1000000000,8.06,USA
Owens Corning,9.74,1000000000,122.16,USA
Carlsberg,9.70,1000000000,158.26,Denmark
Bajaj Finserv,9.67,1000000000,18.41,India
Kintetsu GHD,9.66,1000000000,34.83,Japan
Intercontinental Exchange,9.64,1000000000,111.68,USA
SpartanNash,9.64,1000000000,21.32,USA
Rogers Communication,9.64,1000000000,43.97,Canada
Sampo,9.63,1000000000,46.89,Finland
Graphic Packaging,9.63,1000000000,26.01,USA
IHI Corporation,9.61,1000000000,27.86,Japan
Quest Diagnostics,9.60,1000000000,138.60,USA
Outokumpu,9.59,1000000000,6.14,Finland
West Japan Railway,9.59,1000000000,42.43,Japan
Israel Chemicals,9.58,1000000000,5.95,Israel
WEC Energy Group,9.57,1000000000,91.43,USA
SKF (Svenska Kullagerfabriken),9.56,1000000000,18.70,Sweden
Südzucker,9.56,1000000000,18.54,Germany
Vitesco Technologies Group,9.55,1000000000,78.39,Germany
CITIC Securities,9.54,1000000000,2.86,China
Mondi,9.53,1000000000,16.11,UK
Altice USA,9.51,1000000000,2.98,USA
Central Japan Railway,9.49,1000000000,125.73,Japan
WSP Global,9.47,1000000000,132.41,Canada
Constellation Brands,9.45,1000000000,246.03,USA
KBC,9.44,1000000000,68.50,Belgium
Chennai Petroleum,9.42,1000000000,4.70,India
Bank of Beijing,9.41,1000000000,0.66,China
PTT Exploration and Production,9.41,1000000000,4.42,Thailand
Air China,9.40,1000000000,1.19,China
QNB (Qatar National Bank),9.39,1000000000,4.45,eu Qatar
Kerry Group,9.39,1000000000,98.38,Ireland
Motorola Solutions,9.39,1000000000,280.25,USA
BİM Birleşik Mağazalar,9.37,1000000000,7.49,Turkey
Redington India,9.36,1000000000,2.28,India
Dentsu,9.35,1000000000,33.14,Japan
Hilton Worldwide,9.34,1000000000,140.81,USA
Hana Financial Group,9.33,1000000000,32.15,S. Korea
Banorte,9.33,1000000000,8.41,Mexico
CenterPoint Energy,9.33,1000000000,29.18,USA
MinebeaMitsumi,9.33,1000000000,19.81,Japan
Flutter Entertainment,9.32,1000000000,95.25,Ireland
Telefonica Brasil,9.31,1000000000,8.99,Brazil
Wendel,9.31,1000000000,109.10,France
Ally,9.31,1000000000,28.37,USA
Ashtead,9.30,1000000000,69.05,UK
Erste Group Bank,9.29,1000000000,34.66,Austria
The Saudi National Bank,9.29,1000000000,9.90,S. Arabia
Jackson Financial,9.26,1000000000,29.98,USA
South32,9.26,1000000000,2.70,Australia
Sekisui Chemical,9.26,1000000000,14.63,Japan
Arko,9.25,1000000000,7.93,USA
Balfour Beatty,9.24,1000000000,4.46,UK
Standard Bank Group,9.24,1000000000,9.53,South Africa
GXO Logistics,9.23,1000000000,61.15,USA
Dole PLC,9.22,1000000000,13.88,Ireland
Autoliv,9.21,1000000000,88.13,Sweden
Vertex Pharmaceuticals,9.20,1000000000,347.89,USA
NGL Energy Partners,9.17,1000000000,4.18,USA
Campbell Soup,9.17,1000000000,46.42,USA
DFI Retail Group,9.17,1000000000,2.78,Hong Kong
Commercial Metals Company,9.16,1000000000,47.80,USA
Diamondback Energy,9.16,1000000000,128.74,USA
Coterra Energy,9.14,1000000000,25.21,USA
Compagnie Plastic Omnium,9.14,1000000000,18.25,France
PUMA,9.14,1000000000,55.42,Germany
Melrose Industries,9.13,1000000000,6.50,UK
Tingyi (master kang),9.12,1000000000,1.54,China
Global Payments,9.11,1000000000,100.68,USA
Fnac Darty,9.10,1000000000,36.94,France
DS Smith,9.10,1000000000,3.93,UK
Hitachi Construction Machinery,9.08,1000000000,28.79,Japan
EnLink Midstream,9.08,1000000000,10.31,USA
Samvardhana Motherson,9.07,1000000000,1.01,India
Bid Corp,9.07,1000000000,23.63,South Africa
Booz Allen Hamilton,9.06,1000000000,108.61,USA
GBL,9.05,1000000000,80.38,Belgium
Phillips-Van Heusen,9.02,1000000000,84.34,USA
Bank of China (Hong Kong),9.01,1000000000,3.11,Hong Kong
Japan Airlines,9.01,1000000000,21.26,Japan
M&T Bank,9.00,1000000000,123.16,USA
Ramsay Health Care,9.00,1000000000,39.62,Australia
CommScope,9.00,1000000000,4.92,USA
Dufry,8.99,1000000000,45.60,Switzerland
Polaris,8.98,1000000000,121.28,USA
Lanxess,8.98,1000000000,35.98,Germany
Chipotle Mexican Grill,8.98,1000000000,"2,033",USA
Chugai Pharmaceutical,8.98,1000000000,30.24,Japan
Nexans,8.96,1000000000,89.34,France
Sirius XM,8.96,1000000000,3.94,USA
Universal Forest Products,8.95,1000000000,89.27,USA
Weyerhaeuser,8.95,1000000000,31.00,USA
AGL Energy,8.95,1000000000,7.29,Australia
Willis Towers Watson,8.95,1000000000,235.00,UK
Kingspan Group,8.93,1000000000,66.04,Ireland
Telenor,8.92,1000000000,10.64,Norway
OCBC Bank,8.92,1000000000,9.46,Singapore
Legrand,8.92,1000000000,100.22,France
Hertz,8.92,1000000000,17.82,USA
Yandex,8.91,1000000000,24.77,Netherlands
Sanmina,8.90,1000000000,58.50,USA
Alcon,8.88,1000000000,81.27,Switzerland
Newell Brands,8.87,1000000000,8.51,USA
Woori Financial Group,8.86,1000000000,28.24,S. Korea
Türkiye Is Bankasi,8.84,1000000000,0.57,Turkey
Daiichi Sankyō,8.83,1000000000,34.47,Japan
Arthur J. Gallagher & Co.,8.82,1000000000,213.78,USA
United Microelectronics,8.81,1000000000,8.75,Taiwan
ALSO Holding,8.79,1000000000,226.14,Switzerland
Albemarle,8.77,1000000000,228.17,USA
ASR Nederland,8.76,1000000000,42.24,Netherlands
Telia Company,8.75,1000000000,2.30,Sweden
Olin,8.75,1000000000,52.36,USA
OCI,8.75,1000000000,24.01,Netherlands
Avery Dennison,8.75,1000000000,171.09,USA
Telefónica Deutschland (O2),8.73,1000000000,2.84,Germany
Teleperformance,8.73,1000000000,177.58,France
Adaro Energy,8.71,1000000000,0.16,Indonesia
Airbnb,8.70,1000000000,128.68,USA
Burlington Stores,8.70,1000000000,151.55,USA
New World Development Company,8.69,1000000000,2.65,Hong Kong
Sumitomo Mitsui Trust Holdings,8.67,1000000000,35.54,Japan
Fubon Financial,8.67,1000000000,1.99,Taiwan
ITC,8.64,1000000000,5.53,India
Fifth Third Bank,8.63,1000000000,26.54,USA
Wabtec,8.62,1000000000,103.64,USA
United Tractors,8.62,1000000000,1.53,Indonesia
Cintas,8.60,1000000000,491.36,USA
Oshkosh Corporation,8.60,1000000000,83.61,USA
Welcia Holdings,8.59,1000000000,20.87,Japan
Fortis,8.59,1000000000,42.87,Canada
HDFC Life,8.58,1000000000,7.44,India
Far Eastern New Century,8.57,1000000000,1.08,Taiwan
Bank of Ningbo,8.57,1000000000,3.70,China
Ferrovial,8.57,1000000000,32.35,Spain
Nippon Sanso,8.54,1000000000,22.14,Japan
Acerinox,8.54,1000000000,11.20,Spain
Williams-Sonoma,8.53,1000000000,124.64,USA
Dover,8.53,1000000000,147.73,USA
PPL,8.53,1000000000,26.99,USA
Bank of Shanghai,8.53,1000000000,0.87,China
ALD Automotive,8.53,1000000000,11.17,France
Groupe SEB,8.52,1000000000,97.27,France
Foot Locker,8.50,1000000000,27.21,USA
CMS Energy,8.50,1000000000,60.74,USA
Citizens Financial Group,8.50,1000000000,27.26,USA
Coca-Cola HBC,8.50,1000000000,29.80,Switzerland
Pearson,8.49,1000000000,10.55,UK
Office Depot,8.49,1000000000,41.75,USA
Beacon Roofing Supply,8.47,1000000000,79.44,USA
Constellium,8.47,1000000000,16.67,France
TFI International,8.47,1000000000,106.25,Canada
Nomura Holdings,8.46,1000000000,3.96,Japan
Masco,8.45,1000000000,55.50,USA
ABN AMRO,8.44,1000000000,15.48,Netherlands
Microchip Technology,8.43,1000000000,85.49,USA
Banco Santander Brasil,8.43,1000000000,6.39,Brazil
Seagate Technology,8.41,1000000000,64.30,Ireland
Korea Zinc,8.40,1000000000,399.05,S. Korea
Companhia Siderúrgica Nacional,8.38,1000000000,2.81,Brazil
China Yangtze Power,8.37,1000000000,3.12,China
Andritz,8.36,1000000000,56.44,Austria
Rockwell Automation,8.35,1000000000,315.80,USA
ON Semiconductor,8.34,1000000000,90.15,USA
J.M. Smucker Company,8.32,1000000000,153.10,USA
Packaging Corporation of America,8.31,1000000000,132.42,USA
Barry Callebaut,8.30,1000000000,"1,960",Switzerland
Acciona,8.29,1000000000,179.00,Spain
Bank Mandiri,8.29,1000000000,0.34,Indonesia
Grupo Elektra,8.28,1000000000,66.24,Mexico
Tauron Polska,8.27,1000000000,0.61,Poland
Gudang Garam,8.26,1000000000,1.85,Indonesia
Avangrid,8.25,1000000000,38.66,USA
Thai Beverage,8.25,1000000000,0.42,Thailand
Empresas CMPC,8.21,1000000000,1.90,Chile
West Fraser Timber,8.21,1000000000,79.55,Canada
Ingredion,8.19,1000000000,106.69,USA
Pembina Pipeline,8.18,1000000000,31.23,Canada
Taylor Morrison,8.18,1000000000,46.80,USA
Sibanye-Stillwater,8.18,1000000000,7.38,South Africa
Acer,8.17,1000000000,1.09,Taiwan
Bausch Health,8.15,1000000000,7.35,Canada
Activision Blizzard,8.14,1000000000,81.97,USA
Ameren,8.14,1000000000,84.08,USA
Sonae,8.13,1000000000,1.02,Portugal
Aperam,8.13,1000000000,36.35,Luxembourg
Secom,8.12,1000000000,68.41,Japan
Swatch,8.11,1000000000,297.85,Switzerland
lululemon athletica,8.11,1000000000,383.02,Canada
China Tourism Group Duty Free,8.09,1000000000,18.28,China
Zoetis,8.09,1000000000,170.74,USA
Tianjin FAW,8.06,1000000000,0.40,China
Bâloise,8.06,1000000000,156.56,Switzerland
Boliden,8.05,1000000000,31.37,Sweden
A-Mark Precious Metals,8.04,1000000000,35.98,USA
HelloFresh,8.01,1000000000,20.28,Germany
Gibson Energy,8.01,1000000000,16.03,Canada
Shiseido,8.00,1000000000,50.69,Japan
GlobalFoundries,8.00,1000000000,62.46,USA
China Eastern Airlines,8.00,1000000000,0.67,China
Hays plc,7.99,1000000000,1.32,UK
Arçelik,7.97,1000000000,4.72,Turkey
Iren,7.93,1000000000,2.04,Italy
GarantiBank,7.92,1000000000,1.27,Turkey
Canadian Solar,7.91,1000000000,41.32,Canada
Li Auto,7.90,1000000000,34.41,China
Cosan,7.90,1000000000,14.58,Brazil
Mobile TeleSystems,7.87,1000000000,3.25,Russia
NCR Corporation,7.86,1000000000,25.12,USA
Franklin Resources,7.86,1000000000,26.97,USA
ABM Industries,7.86,1000000000,42.35,USA
HELLA,7.85,1000000000,79.05,Germany
Westpac Banking,7.85,1000000000,14.39,Australia
KKR & Co.,7.84,1000000000,57.20,USA
Computacenter,7.84,1000000000,29.49,UK
Signet Jewelers,7.84,1000000000,60.36,Bermuda
(DIA) Distribuidora Internacional de Alimentación,7.82,1000000000,0.02000,Spain
ICON plc,7.81,1000000000,234.12,Ireland
Meiji Holdings,7.81,1000000000,23.11,Japan
Hong Kong and China Gas,7.81,1000000000,0.90,Hong Kong
Antero Resources,7.79,1000000000,22.46,USA
Santos,7.79,1000000000,5.23,Australia
Anta Sports,7.77,1000000000,11.71,China
International Holding Company,7.74,1000000000,107.58,eu UAE
Knorr-Bremse,7.74,1000000000,72.56,Germany
Signify,7.74,1000000000,29.13,Netherlands
Fomento de Construcciones y Contratas,7.74,1000000000,10.15,Spain
Telkom SA,7.74,1000000000,1.85,South Africa
Axis Bank,7.70,1000000000,11.97,India
Givaudan,7.70,1000000000,"3,291",Switzerland
SAIC,7.70,1000000000,108.92,USA
Suncorp,7.69,1000000000,9.13,Australia
KGHM Polska Miedź,7.67,1000000000,29.68,Poland
Par Pacific Holdings,7.65,1000000000,24.18,USA
NOV,7.65,1000000000,15.59,USA
Rubis,7.64,1000000000,26.12,France
Formosa Plastics,7.63,1000000000,3.02,Taiwan
Old Republic International,7.63,1000000000,24.91,USA
Huntsman Corporation,7.62,1000000000,25.44,USA
RTL Group,7.62,1000000000,41.41,Luxembourg
Skechers,7.62,1000000000,51.78,USA
ServiceNow,7.61,1000000000,565.48,USA
CPFL Energia,7.61,1000000000,6.66,Brazil
Boise Cascade,7.60,1000000000,77.74,USA
Bombardier Recreational Products,7.59,1000000000,82.85,Canada
Cincinnati Financial,7.58,1000000000,100.90,USA
Al Rajhi Bank,7.56,1000000000,19.82,S. Arabia
Savola Group,7.56,1000000000,11.10,S. Arabia
Bandai Namco,7.56,1000000000,24.80,Japan
Hotai Motor,7.55,1000000000,27.10,Taiwan
Brookfield Property Partners,7.55,1000000000,14.36,Bermuda
Huntington Bancshares,7.53,1000000000,10.92,USA
Equinix,7.52,1000000000,778.61,USA
Celestica,7.52,1000000000,14.24,Canada
Regions Financial,7.51,1000000000,18.12,USA
Bath & Body Works,7.50,1000000000,38.95,USA
Indofood,7.49,1000000000,0.49,Indonesia
Shandong Gold Mining,7.48,1000000000,3.36,China
Innolux,7.48,1000000000,0.48,Taiwan
Industrial Bank of Korea (IBK),7.47,1000000000,8.10,S. Korea
Groupe Lagardère,7.47,1000000000,24.09,France
Genworth Financial,7.46,1000000000,5.07,USA
Waste Connections,7.46,1000000000,137.54,USA
UltraTech Cement,7.46,1000000000,101.71,India
Bank of Baroda,7.46,1000000000,2.30,India
Rush Enterprises,7.45,1000000000,59.53,USA
Dassault Aviation,7.44,1000000000,188.96,France
Electronic Arts,7.42,1000000000,128.66,USA
Vulcan Materials,7.42,1000000000,207.31,USA
Ebos Group,7.40,1000000000,22.83,New Zealand
National Bank of Canada,7.40,1000000000,75.21,Canada
Sampoerna,7.39,1000000000,0.07000,Indonesia
Beiersdorf,7.39,1000000000,131.98,Germany
JDE Peet's,7.36,1000000000,29.78,Netherlands
Petronet LNG,7.36,1000000000,2.76,India
Marathon Oil,7.34,1000000000,23.50,USA
Avantor,7.34,1000000000,19.95,USA
Hindustan Unilever,7.32,1000000000,33.15,India
Watsco,7.30,1000000000,366.58,USA
Impala Platinum,7.30,1000000000,8.61,South Africa
MDU Resources,7.29,1000000000,20.61,USA
Sappi,7.25,1000000000,2.25,South Africa
NIO,7.25,1000000000,9.40,China
Axfood,7.24,1000000000,22.69,Sweden
Finning,7.24,1000000000,30.03,Canada
Knight-Swift,7.23,1000000000,54.97,USA
Tsuruha Holdings,7.22,1000000000,76.44,Japan
RPM International,7.22,1000000000,85.22,USA
CK Asset Holdings,7.22,1000000000,5.70,Hong Kong
Liberty Global,7.21,1000000000,16.62,UK
Sonoco,7.20,1000000000,60.65,USA
American Financial Group,7.19,1000000000,116.39,USA
SGS,7.18,1000000000,96.52,Switzerland
Magazine Luíza,7.17,1000000000,0.77,Brazil
Yancoal,7.17,1000000000,3.21,Australia
Steel Authority of India,7.17,1000000000,1.04,India
Clorox,7.17,1000000000,156.54,USA
Apollo Global Management,7.16,1000000000,77.08,USA
DoorDash,7.16,1000000000,73.26,USA
Adani Wilmar,7.15,1000000000,5.12,India
Xerox,7.15,1000000000,14.99,USA
Canara Bank,7.15,1000000000,3.71,India
Veritiv,7.14,1000000000,122.95,USA
Chunghwa Telecom,7.14,1000000000,40.88,Taiwan
Robert Half,7.13,1000000000,73.42,USA
Investor AB,7.13,1000000000,20.58,Sweden
Fastenal,7.13,1000000000,56.58,USA
ARC Resources,7.10,1000000000,13.15,Canada
Constellation Software,7.10,1000000000,"2,057",Canada
Hankyu Hanshin Holdings,7.10,1000000000,32.72,Japan
Zimmer Biomet,7.10,1000000000,144.10,USA
Pirelli,7.10,1000000000,5.06,Italy
Vodacom,7.09,1000000000,6.72,South Africa
Sembcorp,7.07,1000000000,4.26,Singapore
FirstRand,7.07,1000000000,3.79,South Africa
KeyCorp (KeyBank),7.05,1000000000,9.93,USA
Nitto Denko,7.05,1000000000,77.51,Japan
UOB,7.05,1000000000,20.92,Singapore
Agilent Technologies,7.04,1000000000,121.13,USA
China Zheshang Bank,7.03,1000000000,0.33,China
MatsukiyoCocokara,7.03,1000000000,58.63,Japan
First Quantum Minerals,7.02,1000000000,25.14,Canada
First American,7.01,1000000000,57.16,USA
Crown Castle,7.01,1000000000,114.61,USA
MVV Energie,7.00,1000000000,34.16,Germany
VEON,7.00,1000000000,21.00,Netherlands
O-I Glass,6.99,1000000000,20.94,USA
Sungrow Power Supply,6.99,1000000000,16.03,China
AerCap,6.99,1000000000,61.20,Ireland
Lawson,6.98,1000000000,44.33,Japan
Dillard's,6.96,1000000000,332.85,USA
Amkor Technology,6.96,1000000000,26.39,USA
Darling Ingredients,6.95,1000000000,65.12,USA
“K” Line,6.95,1000000000,22.87,Japan
DNB,6.95,1000000000,18.64,Norway
Sumitomo Realty & Development,6.94,1000000000,26.43,Japan
Yum! Brands,6.94,1000000000,138.58,USA
Bombardier,6.91,1000000000,49.52,Canada
Landstar System,6.90,1000000000,187.98,USA
Erdemir,6.89,1000000000,1.56,Turkey
Canadian Pacific Railway,6.89,1000000000,78.52,Canada
SMIC,6.89,1000000000,2.88,China
KB Home,6.88,1000000000,50.77,USA
TechnipFMC,6.86,1000000000,14.72,UK
Brunswick Corporation,6.86,1000000000,85.71,USA
Hang Seng Bank,6.82,1000000000,14.51,Hong Kong
Yapı Kredi,6.80,1000000000,0.54,Turkey
Olympus,6.79,1000000000,16.65,Japan
Camping World,6.79,1000000000,28.07,USA
Northern Trust,6.78,1000000000,74.71,USA
Cemig,6.78,1000000000,2.53,Brazil
Nürnberger Versicherung,6.78,1000000000,79.92,Germany
Tata Power,6.78,1000000000,2.71,India
JD Health,6.77,1000000000,6.97,China
Natura&Co,6.75,1000000000,6.71,Brazil
Hisense Visual Technology,6.74,1000000000,3.28,China
Bank of Ireland Group,6.74,1000000000,10.26,Ireland
Lonza,6.73,1000000000,637.01,Switzerland
Tokyu,6.73,1000000000,12.42,Japan
Unicharm,6.72,1000000000,38.71,Japan
APi Group,6.70,1000000000,25.58,USA
InterGlobe Aviation,6.69,1000000000,29.65,India
Thomson Reuters,6.69,1000000000,129.79,Canada
AUTO1,6.68,1000000000,9.14,Germany
Wan Hai Lines,6.68,1000000000,2.04,Taiwan
Keyence,6.67,1000000000,505.97,Japan
Samsung Electro-Mechanics,6.67,1000000000,55.57,S. Korea
PhosAgro,6.67,1000000000,89.80,Russia
Worley,6.67,1000000000,10.91,Australia
Tapestry,6.66,1000000000,43.37,USA
Danske Bank,6.66,1000000000,24.11,Denmark
Core & Main,6.65,1000000000,28.57,USA
Sanlam,6.64,1000000000,3.32,South Africa
Restaurant Brands International,6.64,1000000000,76.43,Canada
AIB Group (Allied Irish Banks),6.64,1000000000,4.33,Ireland
CACI,6.64,1000000000,325.69,USA
Ganfeng Lithium,6.63,1000000000,9.17,China
Experian,6.61,1000000000,37.20,Ireland
Alfamart,6.61,1000000000,0.17,Indonesia
Quiñenco,6.61,1000000000,3.40,Chile
Akbank,6.59,1000000000,0.80,Turkey
Hankook Tire,6.59,1000000000,27.27,S. Korea
Otsuka,6.57,1000000000,41.08,Japan
UPL,6.57,1000000000,8.43,India
Supermicro,6.57,1000000000,230.77,USA
Naver,6.57,1000000000,159.38,S. Korea
Chemours,6.56,1000000000,33.90,USA
PChem (Petronas Chemicals Group),6.56,1000000000,1.33,Malaysia
Amundi,6.55,1000000000,59.78,France
KBR,6.55,1000000000,65.57,USA
Tech Mahindra,6.55,1000000000,13.15,India
Skandinaviska Enskilda Banken,6.55,1000000000,11.40,Sweden
Budweiser APAC,6.54,1000000000,2.84,Hong Kong
Cathay Pacific,6.54,1000000000,0.98,Hong Kong
Tourmaline Oil,6.54,1000000000,46.22,Canada
Uniqa Insurance Group,6.53,1000000000,8.12,Austria
Hornbach Holding,6.52,1000000000,76.86,Germany
Prologis,6.52,1000000000,122.63,USA
Centrais Electricas Brasileiras,6.51,1000000000,8.01,Brazil
Penn National Gaming,6.51,1000000000,24.84,USA
Arconic,6.50,1000000000,29.20,USA
Doosan Bobcat,6.50,1000000000,47.54,S. Korea
Sprouts Farmers Market,6.49,1000000000,33.80,USA
Monster Beverage,6.49,1000000000,58.45,USA
Bechtle,6.49,1000000000,41.39,Germany
Palo Alto Networks,6.48,1000000000,246.53,USA
Jindal Steel & Power,6.48,1000000000,6.64,India
Nitori Holdings,6.46,1000000000,122.91,Japan
ADT,6.46,1000000000,6.42,USA
NetApp,6.46,1000000000,74.37,USA
Bank of Nanjing,6.45,1000000000,1.22,China
Kotak Mahindra Bank,6.45,1000000000,22.67,India
easyJet,6.44,1000000000,6.48,UK
Intuitive Surgical,6.43,1000000000,329.36,USA
SPIE,6.42,1000000000,32.14,France
Rheinmetall,6.42,1000000000,285.20,Germany
Sonic Healthcare,6.42,1000000000,24.13,Australia
Ralph Lauren,6.42,1000000000,123.18,USA
Concentrix,6.42,1000000000,83.07,USA
Alabama Power,6.41,1000000000,25.03,USA
Resideo Technologies,6.41,1000000000,17.62,USA
Schneider,6.41,1000000000,27.05,USA
Hornbach Baumarkt,6.41,1000000000,52.22,Germany
Anywhere Real Estate,6.40,1000000000,6.00,USA
John Wood Group,6.40,1000000000,1.67,UK
Select Medical Holdings,6.39,1000000000,29.21,USA
Academy Sports,6.39,1000000000,48.58,USA
McCormick & Company,6.39,1000000000,92.65,USA
Barratt Developments,6.39,1000000000,5.68,UK
Patterson Companies,6.38,1000000000,28.50,USA
Silgan Holdings,6.38,1000000000,47.64,USA
Pick n Pay Stores,6.37,1000000000,2.16,South Africa
Wärtsilä,6.37,1000000000,11.92,Finland
Coca-Cola Consolidated,6.36,1000000000,656.48,USA
RenaissanceRe,6.36,1000000000,191.83,Bermuda
Savencia Fromage & Dairy,6.35,1000000000,63.50,France
JB Hi-Fi,6.35,1000000000,29.64,Australia
Victoria's Secret & Co,6.34,1000000000,19.60,USA
Public Power Corporation,6.34,1000000000,11.15,Greece
Koito Manufacturing,6.34,1000000000,20.00,Japan
Fortune Brands Innovations,6.33,1000000000,66.99,USA
Omron,6.33,1000000000,66.16,Japan
Brighthouse Financial,6.31,1000000000,45.04,USA
Quilter,6.30,1000000000,1.07,UK
United Internet,6.29,1000000000,14.20,Germany
Hyatt Hotels,6.29,1000000000,113.17,USA
Linamar,6.29,1000000000,53.35,Canada
Meritage Homes,6.29,1000000000,130.33,USA
Post Holdings,6.29,1000000000,87.34,USA
Ametek,6.28,1000000000,155.91,USA
Martin Marietta,6.28,1000000000,426.54,USA
Lufax,6.28,1000000000,1.56,China
Carlisle Companies,6.27,1000000000,239.58,USA
Levi Strauss,6.26,1000000000,15.07,USA
SBI Holdings,6.25,1000000000,20.01,Japan
Central Retail Corporation,6.24,1000000000,1.16,Thailand
Nordex,6.24,1000000000,11.99,Germany
Ooredoo Q.P.S.C.,6.23,1000000000,2.97,eu Qatar
Direct Line Group,6.22,1000000000,1.97,UK
Fanuc,6.22,1000000000,37.38,Japan
Voya Financial,6.22,1000000000,71.91,USA
Nasdaq,6.22,1000000000,51.22,USA
Proximus,6.22,1000000000,7.89,Belgium
Grifols,6.22,1000000000,9.08,Spain
Next plc,6.21,1000000000,82.26,UK
Workday,6.21,1000000000,222.40,USA
Bed Bath & Beyond,6.21,1000000000,0.07510,USA
Ingersoll Rand,6.20,1000000000,64.52,Ireland
Bank Central Asia,6.20,1000000000,0.61,Indonesia
Old Dominion Freight Line,6.20,1000000000,325.46,USA
General Insurance Corporation of India,6.19,1000000000,2.32,India
B&M European Value Retail,6.17,1000000000,7.07,Luxembourg
Grupo Catalana Occidente,6.16,1000000000,31.53,Spain
Zoomlion,6.16,1000000000,0.52,China
The Bidvest Group,6.16,1000000000,14.88,South Africa
T. Rowe Price,6.16,1000000000,114.18,USA
Pactiv Evergreen,6.15,1000000000,7.48,USA
Organon,6.14,1000000000,20.91,USA
Norwegian Cruise Line,6.14,1000000000,19.13,USA
Insperity,6.13,1000000000,119.77,USA
MTR Corporation,6.13,1000000000,4.69,Hong Kong
Petco,6.11,1000000000,8.61,USA
Insurance Australia Group,6.10,1000000000,3.79,Australia
SMC corp,6.09,1000000000,584.09,Japan
Secure Energy Services,6.09,1000000000,4.65,Canada
Usiminas,6.08,1000000000,1.54,Brazil
PORR,6.07,1000000000,14.98,Austria
Lendlease,6.06,1000000000,5.00,Australia
Greif,6.05,1000000000,70.15,USA
Vertiv Holdings,6.05,1000000000,22.54,USA
Dassault Systèmes,6.05,1000000000,45.28,France
Travis Perkins,6.05,1000000000,10.33,UK
Harley-Davidson,6.04,1000000000,34.35,USA
Hanesbrands,6.04,1000000000,4.69,USA
Glanbia plc,6.04,1000000000,14.66,Ireland
Orkla,6.03,1000000000,7.13,Norway
Clariant,6.02,1000000000,14.61,Switzerland
Union Bank of India,6.02,1000000000,0.87,India
Welltower,6.02,1000000000,80.41,USA
Shinsegae,6.02,1000000000,145.14,S. Korea
Compass,6.01,1000000000,3.35,USA
ICICI Prulife,5.99,1000000000,6.52,India
Enel Chile,5.99,1000000000,3.38,Chile
Qantas Airways,5.98,1000000000,4.58,Australia
Terumo,5.98,1000000000,32.96,Japan
Ryerson,5.98,1000000000,38.75,USA
Publicis Groupe,5.97,1000000000,81.06,France
POOLCORP,5.97,1000000000,357.95,USA
Peab,5.96,1000000000,4.08,Sweden
Just Eat Takeaway,5.95,1000000000,14.78,Netherlands
Emera,5.95,1000000000,41.10,Canada
Broadridge Financial Solutions,5.94,1000000000,160.80,USA
NiSource,5.94,1000000000,27.38,USA
Howmet Aerospace,5.94,1000000000,45.98,USA
COSMOS Pharmaceutical,5.93,1000000000,99.96,Japan
Evergy,5.93,1000000000,59.31,USA
Eurazeo,5.93,1000000000,73.08,France
Jefferies Financial Group,5.92,1000000000,32.96,USA
GameStop,5.92,1000000000,24.56,USA
Agnico Eagle Mines,5.92,1000000000,51.00,Canada
Marvell Technology Group,5.91,1000000000,61.12,USA
Gruma (Maseca),5.91,1000000000,16.17,Mexico
K+S,5.91,1000000000,17.08,Germany
KPN,5.91,1000000000,3.43,Netherlands
Fortive,5.90,1000000000,71.82,USA
